time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,21,6,0,0
2026-04-21 00:00:00+00:00,34,11,0,0
2026-04-22 00:00:00+00:00,48,12,0,0
2026-04-23 00:00:00+00:00,99,35,0,0
2026-04-24 00:00:00+00:00,108,48,0,0
2026-04-25 00:00:00+00:00,102,42,0,0
2026-04-26 00:00:00+00:00,34,10,0,0
2026-04-27 00:00:00+00:00,14,8,0,0
2026-04-28 00:00:00+00:00,31,12,0,0
2026-04-29 00:00:00+00:00,40,11,0,0
2026-04-30 00:00:00+00:00,40,12,0,0
2026-05-01 00:00:00+00:00,43,17,1,1
2026-05-02 00:00:00+00:00,73,18,0,0
2026-05-03 00:00:00+00:00,41,13,0,0
