time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-08 00:00:00+00:00,0,0,0,0
2026-01-09 00:00:00+00:00,0,0,0,0
2026-01-10 00:00:00+00:00,0,0,0,0
2026-01-11 00:00:00+00:00,0,0,0,0
2026-01-12 00:00:00+00:00,0,0,0,0
2026-01-13 00:00:00+00:00,43,17,45,2
2026-01-14 00:00:00+00:00,12,6,0,0
2026-01-15 00:00:00+00:00,7,5,0,0
2026-01-16 00:00:00+00:00,14,10,2,1
2026-01-17 00:00:00+00:00,2,2,1,1
2026-01-18 00:00:00+00:00,4,4,5,1
2026-01-19 00:00:00+00:00,2,2,0,0
2026-01-20 00:00:00+00:00,4,4,0,0
2026-01-21 00:00:00+00:00,2,2,0,0
2026-01-22 00:00:00+00:00,6,4,13,1
2026-01-23 00:00:00+00:00,26,18,17,1
2026-01-24 00:00:00+00:00,23,8,0,0
2026-01-25 00:00:00+00:00,22,8,0,0
2026-01-26 00:00:00+00:00,19,8,0,0
2026-01-27 00:00:00+00:00,25,11,13,2
2026-01-28 00:00:00+00:00,12,6,14,2
2026-01-29 00:00:00+00:00,85,27,40,3
2026-01-30 00:00:00+00:00,187,46,57,3
2026-01-31 00:00:00+00:00,242,64,58,1
2026-02-01 00:00:00+00:00,212,63,69,1
2026-02-02 00:00:00+00:00,29,13,3,1
2026-02-03 00:00:00+00:00,24,10,4,2
2026-02-04 00:00:00+00:00,16,6,5,1
2026-02-05 00:00:00+00:00,20,8,0,0
2026-02-06 00:00:00+00:00,33,15,0,0
2026-02-07 00:00:00+00:00,26,14,3,1
2026-02-08 00:00:00+00:00,16,8,0,0
2026-02-09 00:00:00+00:00,17,7,4,1
2026-02-10 00:00:00+00:00,13,6,3,1
2026-02-11 00:00:00+00:00,35,14,0,0
2026-02-12 00:00:00+00:00,48,19,3,1
2026-02-13 00:00:00+00:00,35,17,10,1
2026-02-14 00:00:00+00:00,51,29,1,1
2026-02-15 00:00:00+00:00,26,11,0,0
2026-02-16 00:00:00+00:00,11,5,0,0
2026-02-17 00:00:00+00:00,22,8,0,0
2026-02-18 00:00:00+00:00,18,8,0,0
2026-02-19 00:00:00+00:00,20,8,0,0
2026-02-20 00:00:00+00:00,28,14,0,0
2026-02-21 00:00:00+00:00,13,7,0,0
2026-02-22 00:00:00+00:00,10,4,0,0
2026-02-23 00:00:00+00:00,15,5,0,0
2026-02-24 00:00:00+00:00,9,5,0,0
2026-02-25 00:00:00+00:00,28,7,0,0
2026-02-26 00:00:00+00:00,26,10,0,0
2026-02-27 00:00:00+00:00,32,16,0,0
2026-02-28 00:00:00+00:00,16,6,0,0
2026-03-01 00:00:00+00:00,18,7,0,0
2026-03-02 00:00:00+00:00,27,12,0,0
2026-03-03 00:00:00+00:00,9,5,0,0
2026-03-04 00:00:00+00:00,26,8,4,1
2026-03-05 00:00:00+00:00,5,3,0,0
2026-03-06 00:00:00+00:00,24,12,0,0
2026-03-07 00:00:00+00:00,16,6,0,0
2026-03-08 00:00:00+00:00,12,6,0,0
2026-03-09 00:00:00+00:00,10,4,0,0
2026-03-10 00:00:00+00:00,25,10,0,0
2026-03-11 00:00:00+00:00,21,8,0,0
2026-03-12 00:00:00+00:00,26,10,0,0
2026-03-13 00:00:00+00:00,23,10,0,0
2026-03-14 00:00:00+00:00,23,9,2,2
2026-03-15 00:00:00+00:00,10,4,0,0
2026-03-16 00:00:00+00:00,10,4,1,1
2026-03-17 00:00:00+00:00,10,6,0,0
2026-03-18 00:00:00+00:00,22,6,0,0
2026-03-19 00:00:00+00:00,23,7,0,0
2026-03-20 00:00:00+00:00,190,55,47,2
2026-03-21 00:00:00+00:00,28,9,0,0
2026-03-22 00:00:00+00:00,134,32,39,1
2026-03-23 00:00:00+00:00,378,77,105,1
2026-03-24 00:00:00+00:00,20,11,0,0
2026-03-25 00:00:00+00:00,18,7,0,0
2026-03-26 00:00:00+00:00,13,5,0,0
2026-03-27 00:00:00+00:00,98,35,16,1
2026-03-28 00:00:00+00:00,31,14,3,1
2026-03-29 00:00:00+00:00,72,26,18,2
2026-03-30 00:00:00+00:00,207,65,58,5
2026-03-31 00:00:00+00:00,14,10,6,3
2026-04-01 00:00:00+00:00,191,53,91,3
2026-04-02 00:00:00+00:00,79,19,31,3
2026-04-03 00:00:00+00:00,19,11,0,0
2026-04-04 00:00:00+00:00,27,10,11,1
2026-04-05 00:00:00+00:00,121,34,47,1
2026-04-06 00:00:00+00:00,10,10,0,0
2026-04-07 00:00:00+00:00,17,7,0,0
2026-04-08 00:00:00+00:00,27,9,3,1
2026-04-09 00:00:00+00:00,33,12,0,0
2026-04-10 00:00:00+00:00,39,17,0,0
2026-04-11 00:00:00+00:00,19,10,0,0
2026-04-12 00:00:00+00:00,33,11,0,0
2026-04-13 00:00:00+00:00,23,8,2,1
2026-04-14 00:00:00+00:00,34,11,0,0
2026-04-15 00:00:00+00:00,21,7,0,0
2026-04-16 00:00:00+00:00,33,11,1,1
2026-04-17 00:00:00+00:00,50,18,0,0
2026-04-18 00:00:00+00:00,11,5,0,0
2026-04-19 00:00:00+00:00,28,10,0,0
2026-04-20 00:00:00+00:00,21,6,0,0
